Variable,Group_By,Group_Levels,N,Mean,SD,SE,Min,Max,CI_Lower,CI_Upper
Solubilitas,CMC x PVA x Plasticizer,1_3_Gliserol,3,0.5333295318469521,0.0062877262757000596,0.0036302204578661126,0.5263157894736837,0.5384615384615409,0.5262142997495345,0.5404447639443697
Solubilitas,CMC x PVA x Plasticizer,1_3_Sorbitol,3,0.3753679437876849,0.005812757070378081,0.0033559968593166855,0.3697478991596642,0.3813559322033902,0.3687901899434242,0.3819456976319456
Solubilitas,CMC x PVA x Plasticizer,2_1_Gliserol,3,0.6476273349576526,0.004601921741888093,0.002656920756468682,0.6449704142011832,0.6529411764705899,0.642419770274974,0.6528348996403311
Solubilitas,CMC x PVA x Plasticizer,2_2_Gliserol,3,0.5537551440329214,0.009770277733140625,0.005640872479286147,0.5432098765432081,0.562500000000001,0.5426990339735205,0.5648112540923222
Solubilitas,CMC x PVA x Plasticizer,2_2_Sorbitol,3,0.5240510697032438,0.004276168509822692,0.0024688470402463325,0.5214285714285702,0.5289855072463773,0.519212129504361,0.5288900099021265
Solubilitas,CMC x PVA x Plasticizer,2_3_Gliserol,3,0.5218234428760754,0.007204513936797613,0.004159528060790512,0.513513513513516,0.5263157894736837,0.513670767876926,0.5299761178752248
Solubilitas,CMC x PVA x Plasticizer,2_3_Sorbitol,3,0.33420138888888856,0.00150351632601519,0.0008680555555558671,0.3333333333333327,0.3359375000000003,0.3324999999999991,0.33590277777777805
Solubilitas,CMC x PVA x Plasticizer,3_1_Gliserol,3,0.6642962794402097,0.0010346190396787597,0.0005973375810672441,0.6631016042780752,0.6648936170212769,0.6631254977813179,0.6654670610991016
Solubilitas,CMC x PVA x Plasticizer,3_1_Sorbitol,3,0.40129893002328104,0.007183329074008587,0.004147296974556523,0.3933333333333327,0.4072847682119203,0.39317022795315026,0.4094276320934118
Solubilitas,CMC x PVA x Plasticizer,3_2_Gliserol,3,0.5074056572270343,0.0037259563947915587,0.0021511819275217142,0.5031055900621114,0.5096774193548411,0.5031893406490918,0.5116219738049769
Solubilitas,CMC x PVA x Plasticizer,3_2_Sorbitol,3,0.3411028192371474,0.0034794169414220826,0.002008842307752984,0.3383084577114428,0.345,0.33716548831395154,0.3450401501603433
Solubilitas,CMC x PVA x Plasticizer,3_3_Gliserol,3,0.551635912167098,0.003740707013996226,0.0021596982014902423,0.5473684210526347,0.5543478260869573,0.547402903692177,0.5558689206420189
Solubilitas,CMC x PVA x Plasticizer,3_3_Sorbitol,3,0.3170687134502926,0.0011078541349578102,0.0006396198830407318,0.3157894736842111,0.3177083333333333,0.31581505847953273,0.31832236842105244
